id,Entrada,Surco,Norte,Este,Latitud,Longitud,n_tallos,t_daño,p_daño
33,E9,S48,852971.6342,1081273.924,3.266402786,-76.346439,12,3,0.25000
34,E10,S54,852962.4172,1081272.079,3.266319453,-76.346455,15,0,0.00000
35,E11,S60,852953.2002,1081270.233,3.26623612,-76.346472,7,0,0.00000
36,E12,S66,852942.1386,1081266.537,3.266136119,-76.346505,12,0,0.00000
37,E1,S1,853048.2883,1081288.382,3.267095843,-76.346308,15,1,0.06667
38,E2,S6,853040.9116,1081282.83,3.267029177,-76.346358,11,3,0.27273
39,E3,S12,853029.8529,1081282.839,3.266929177,-76.346358,8,5,0.62500
40,E4,S18,853022.4761,1081277.287,3.26686251,-76.346408,17,2,0.11765
41,E5,S24,853011.416,1081275.443,3.26676251,-76.346425,17,0,0.00000
42,E6,S30,853004.0422,1081273.597,3.266695844,-76.346441,7,0,0.00000
43,E7,S36,852992.9821,1081271.753,3.266595844,-76.346458,19,1,0.05263
44,E8,S42,852983.7636,1081268.055,3.26651251,-76.346491,12,1,0.08333
45,E9,S48,852974.5452,1081264.357,3.266429177,-76.346525,13,0,0.00000
46,E10,S54,852965.3282,1081262.512,3.266345843,-76.346541,14,1,0.07143
47,E11,S60,852956.1112,1081260.666,3.26626251,-76.346558,16,0,0.00000
48,E12,S66,852945.0496,1081256.97,3.266162509,-76.346591,12,0,0.00000
49,E1,S1,853051.1992,1081278.815,3.267122233,-76.346394,12,0,0.00000
